2.5582 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
51.9110 	EXP 	window1: recordFrameIntervals = False
52.8878 	EXP 	fixation: autoDraw = True
53.8943 	EXP 	fixation: autoDraw = False
53.9110 	EXP 	grating: autoDraw = True
53.9110 	EXP 	grating: tex = 'sin'
54.2108 	EXP 	grating: autoDraw = False
54.2152 	EXP 	window1: recordFrameIntervals = False
54.2172 	DATA 	Keypress: right
54.2275 	EXP 	fixation: autoDraw = False
54.2275 	EXP 	grating: autoDraw = False
54.2277 	EXP 	window1: recordFrameIntervals = False
55.2057 	EXP 	fixation: autoDraw = True
56.2110 	EXP 	fixation: autoDraw = False
56.2276 	EXP 	grating: autoDraw = True
56.2276 	EXP 	grating: tex = 'sin'
56.5277 	EXP 	grating: autoDraw = False
56.5806 	EXP 	window1: recordFrameIntervals = False
56.5822 	DATA 	Keypress: right
56.5944 	EXP 	fixation: autoDraw = False
56.5944 	EXP 	grating: autoDraw = False
56.5947 	EXP 	window1: recordFrameIntervals = False
57.5712 	EXP 	fixation: autoDraw = True
58.5778 	EXP 	fixation: autoDraw = False
58.5944 	EXP 	grating: autoDraw = True
58.5944 	EXP 	grating: tex = 'sin'
58.8944 	EXP 	grating: autoDraw = False
58.9644 	EXP 	window1: recordFrameIntervals = False
58.9661 	DATA 	Keypress: left
58.9777 	EXP 	fixation: autoDraw = False
58.9777 	EXP 	grating: autoDraw = False
58.9783 	EXP 	window1: recordFrameIntervals = False
59.9538 	EXP 	fixation: autoDraw = True
60.9612 	EXP 	fixation: autoDraw = False
60.9782 	EXP 	grating: autoDraw = True
60.9782 	EXP 	grating: tex = 'sin'
61.2782 	EXP 	grating: autoDraw = False
61.2810 	EXP 	window1: recordFrameIntervals = False
61.2827 	DATA 	Keypress: left
61.2946 	EXP 	fixation: autoDraw = False
61.2946 	EXP 	grating: autoDraw = False
61.2949 	EXP 	window1: recordFrameIntervals = False
62.2719 	EXP 	fixation: autoDraw = True
63.2780 	EXP 	fixation: autoDraw = False
63.2948 	EXP 	grating: autoDraw = True
63.2948 	EXP 	grating: tex = 'sin'
63.5946 	EXP 	grating: autoDraw = False
63.6644 	EXP 	window1: recordFrameIntervals = False
63.6660 	DATA 	Keypress: left
63.6781 	EXP 	fixation: autoDraw = False
63.6781 	EXP 	grating: autoDraw = False
63.6783 	EXP 	window1: recordFrameIntervals = False
64.6557 	EXP 	fixation: autoDraw = True
65.6614 	EXP 	fixation: autoDraw = False
65.6782 	EXP 	grating: autoDraw = True
65.6782 	EXP 	grating: tex = 'sin'
65.9780 	EXP 	grating: autoDraw = False
65.9815 	EXP 	window1: recordFrameIntervals = False
65.9833 	DATA 	Keypress: right
65.9947 	EXP 	fixation: autoDraw = False
65.9947 	EXP 	grating: autoDraw = False
65.9952 	EXP 	window1: recordFrameIntervals = False
66.9707 	EXP 	fixation: autoDraw = True
67.9782 	EXP 	fixation: autoDraw = False
67.9949 	EXP 	grating: autoDraw = True
67.9949 	EXP 	grating: tex = 'sin'
68.2948 	EXP 	grating: autoDraw = False
68.3479 	EXP 	window1: recordFrameIntervals = False
68.3496 	DATA 	Keypress: right
68.3615 	EXP 	fixation: autoDraw = False
68.3615 	EXP 	grating: autoDraw = False
68.3618 	EXP 	window1: recordFrameIntervals = False
69.3380 	EXP 	fixation: autoDraw = True
70.3450 	EXP 	fixation: autoDraw = False
70.3617 	EXP 	grating: autoDraw = True
70.3617 	EXP 	grating: tex = 'sin'
70.6617 	EXP 	grating: autoDraw = False
70.7476 	EXP 	window1: recordFrameIntervals = False
70.7492 	DATA 	Keypress: left
70.7615 	EXP 	fixation: autoDraw = False
70.7615 	EXP 	grating: autoDraw = False
70.7621 	EXP 	window1: recordFrameIntervals = False
71.7394 	EXP 	fixation: autoDraw = True
72.7451 	EXP 	fixation: autoDraw = False
72.7618 	EXP 	grating: autoDraw = True
72.7618 	EXP 	grating: tex = 'sin'
73.0617 	EXP 	grating: autoDraw = False
73.1648 	EXP 	window1: recordFrameIntervals = False
73.1664 	DATA 	Keypress: left
73.1786 	EXP 	fixation: autoDraw = False
73.1786 	EXP 	grating: autoDraw = False
73.1790 	EXP 	window1: recordFrameIntervals = False
74.1561 	EXP 	fixation: autoDraw = True
75.1618 	EXP 	fixation: autoDraw = False
75.1785 	EXP 	grating: autoDraw = True
75.1785 	EXP 	grating: tex = 'sin'
75.4784 	EXP 	grating: autoDraw = False
75.5315 	EXP 	window1: recordFrameIntervals = False
75.5330 	DATA 	Keypress: right
75.5454 	EXP 	fixation: autoDraw = False
75.5454 	EXP 	grating: autoDraw = False
75.5463 	EXP 	window1: recordFrameIntervals = False
76.5208 	EXP 	fixation: autoDraw = True
77.5286 	EXP 	fixation: autoDraw = False
77.5455 	EXP 	grating: autoDraw = True
77.5455 	EXP 	grating: tex = 'sin'
77.8453 	EXP 	grating: autoDraw = False
77.9315 	EXP 	window1: recordFrameIntervals = False
77.9335 	DATA 	Keypress: left
77.9452 	EXP 	fixation: autoDraw = False
77.9452 	EXP 	grating: autoDraw = False
77.9457 	EXP 	window1: recordFrameIntervals = False
